ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
388542571/examples/basic_subnets/Pulumi.yaml,388542571,388542571/examples/basic_subnets,Pulumi,python,basic-subnets,GCP network basic subnets demo project,python,,,0,0,1,gcp
388542571/examples/basic_firewall_rules/Pulumi.yaml,388542571,388542571/examples/basic_firewall_rules,Pulumi,python,basic-firewall-rules,GCP network basic firewall rules demo project,python,,,0,0,1,gcp
388542571/examples/basic_network/Pulumi.yaml,388542571,388542571/examples/basic_network,Pulumi,python,basic-network,GCP network basic network demo project,python,,,0,0,1,gcp
388542571/examples/basic_vpc/Pulumi.yaml,388542571,388542571/examples/basic_vpc,Pulumi,python,basic-vpc,GCP network basic vpc demo project,python,,,0,0,1,gcp
388542571/examples/basic_routes/Pulumi.yaml,388542571,388542571/examples/basic_routes,Pulumi,python,basic-routes,GCP network basic routes demo project,python,,,0,0,1,gcp
419834241/Pulumi.yaml,419834241,419834241,Pulumi,python,quickstart,A minimal Google Cloud Python Pulumi program,python,,,0,0,1,gcp
402879279/example-project/pulumi/old/Pulumi.yaml,402879279,402879279/example-project/pulumi/old,Pulumi,typescript,vendure-pulumi,Deployment for an example Vendure project using Pulumi and GCP (with Docker),nodejs,,,0,0,1,gcp
477771435/gcp/cdktf.json,477771435,477771435/gcp,CDKTF,python,,,python,,,0,0,1,gcp
185512695/src/chap12-Kubernetes/pulumi_gke/Pulumi.yaml,185512695,185512695/src/chap12-Kubernetes/pulumi_gke,Pulumi,python,pythonfordevops-gke-pulumi,A minimal Google Cloud Python Pulumi program,python,,,0,0,1,gcp
389288120/gke/Pulumi.yaml,389288120,389288120/gke,Pulumi,python,gke,Google Kubernetes Engine,python,,,0,0,1,gcp
481998124/labs/infra/google-cloudrun/cdktf.json,481998124,481998124/labs/infra/google-cloudrun,CDKTF,typescript,,,typescript,,,0,0,1,gcp
507430899/Pulumi.yaml,507430899,507430899,Pulumi,typescript,pulumi-gcp,A minimal Google Cloud TypeScript Pulumi program,nodejs,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-go-webserver/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-go-webserver,Pulumi,go,webserver-gcp,Basic example of an Google Cloud web server accessible over HTTP,go,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-cs-gke/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-cs-gke,Pulumi,csharp,gcp-cs-gke,A GCP C# Pulumi program with Kubernetes,dotnet,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-py-functions/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-py-functions,Pulumi,python,gcp-py-functions,A minimal Python Pulumi program using Google Cloud Functions.,python,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-py-instance-nginx/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-py-instance-nginx,Pulumi,python,gcp-instance-nginx,Deploy a Nginx Server in a GCP instance,python,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-go-gke/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-go-gke,Pulumi,go,gcp-go-gke,A GCP Go Pulumi program with Kubernetes,go,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-cs-functions/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-cs-functions,Pulumi,csharp,gcp-py-functions,A minimal C# Pulumi program using Google Cloud Functions.,dotnet,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-js-webserver/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-js-webserver,Pulumi,typescript,webserver-gcp,Basic example of an Google Cloud web server accessible over HTTP,nodejs,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-ts-slackbot/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-ts-slackbot,Pulumi,typescript,gcp-ts-slack,Basic example of creating a slackbot,nodejs,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-ts-docker-gcr-cloudrun/cloud-run-deploy/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-ts-docker-gcr-cloudrun/cloud-run-deploy,Pulumi,typescript,cloud-run-deploy,A minimal Google Cloud TypeScript Pulumi program,nodejs,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-ts-docker-gcr-cloudrun/docker-build-push-gcr/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-ts-docker-gcr-cloudrun/docker-build-push-gcr,Pulumi,typescript,gcr-build-image,A minimal Google Cloud TypeScript Pulumi program,nodejs,,,0,0,1,gcp
513876836/applications/pulumi-examples/gcp-ts-serverless-raw/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/gcp-ts-serverless-raw,Pulumi,typescript,serverless,Basic example of a serverless GCP functions in Python and Go,nodejs,,,0,0,1,gcp
