ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
240761019/infrastructure/Pulumi.yaml,240761019,240761019/infrastructure,Pulumi,csharp,ronnies.be,Azure infrastructure for ronnies.be,dotnet,,,0,1,0,azure
348698887/Cloud-Development-Kits-Research-Triangle-PowerShell-Users-Group/azure-python-resourcegroup/Pulumi.yaml,348698887,348698887/Cloud-Development-Kits-Research-Triangle-PowerShell-Users-Group/azure-python-resourcegroup,Pulumi,python,azure-python-resourcegroup,Create a resource group with Python,python,,,0,1,0,azure
244139670/SampleInfrastructure/Pulumi.yaml,244139670,244139670/SampleInfrastructure,Pulumi,csharp,SampleInfrastructure,A minimal Azure C# Pulumi program,dotnet,,,0,1,0,azure
244139670/StaticWebsite/Pulumi.yaml,244139670,244139670/StaticWebsite,Pulumi,csharp,static-website,A minimal Azure C# Pulumi program,dotnet,,,0,1,0,azure
244139670/TeamTimeZonesInfrastructure/Pulumi.yaml,244139670,244139670/TeamTimeZonesInfrastructure,Pulumi,csharp,TeamTimeZones,A minimal Azure C# Pulumi program,dotnet,,,0,1,0,azure
255849556/Pulumi.yaml,255849556,255849556,Pulumi,typescript,eventgrid1,A minimal Azure TypeScript Pulumi program,nodejs,,,0,1,0,azure
430046562/cluster/Pulumi.yaml,430046562,430046562/cluster,Pulumi,csharp,cluster,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
430046562/demo/Pulumi.yaml,430046562,430046562/demo,Pulumi,csharp,demo,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
364785711/Week 5/Project 3 - Create An AKS Cluster In Azure With Pulumi/AKS-Cluster-Pulumi/Pulumi.yaml,364785711,364785711/Week 5/Project 3 - Create An AKS Cluster In Azure With Pulumi/AKS-Cluster-Pulumi,Pulumi,python,AKS-Cluster-Pulumi,A minimal Azure Native Python Pulumi program,python,,,0,1,0,azure
364785711/Week 5/Project 1 - Create A Storage Account In Azure With Pulumi/azure-python-cloudskills-bootcamp/Pulumi.yaml,364785711,364785711/Week 5/Project 1 - Create A Storage Account In Azure With Pulumi/azure-python-cloudskills-bootcamp,Pulumi,python,azure-python-cloudskills-bootcamp,A minimal Azure Native Python Pulumi program,python,,,0,1,0,azure
406069790/examples/aks/ts/Pulumi.yaml,406069790,406069790/examples/aks/ts,Pulumi,typescript,azure-ts-aks,A minimal Azure AKS TypeScript Pulumi program,nodejs,,,0,1,0,azure
406069790/examples/aks/cs/Pulumi.yaml,406069790,406069790/examples/aks/cs,Pulumi,csharp,azure-cs-aks,A C# Pulumi program to provision an Azure Kubernetes Service (AKS) cluster,dotnet,,,0,1,0,azure
406069790/examples/aks/go/Pulumi.yaml,406069790,406069790/examples/aks/go,Pulumi,go,azure-go-aks,An minimal Azure Kubernetes Service Go Pulumi program,go,,,0,1,0,azure
406069790/examples/aks/py/Pulumi.yaml,406069790,406069790/examples/aks/py,Pulumi,python,azure-py-aks,Using the native Azure provider to create AKS cluster with python,python,,,0,1,0,azure
406069790/examples/functions/Pulumi.yaml,406069790,406069790/examples/functions,Pulumi,typescript,azure-ts-functions-many,Azure Functions created from raw deployment packages in all supported languages,nodejs,,,0,1,0,azure
406069790/examples/static-web/csharp/Pulumi.yaml,406069790,406069790/examples/static-web/csharp,Pulumi,csharp,static-web-csharp,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
406069790/examples/static-web/ts/Pulumi.yaml,406069790,406069790/examples/static-web/ts,Pulumi,typescript,static-web-ts,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
406069790/examples/static-web/go/Pulumi.yaml,406069790,406069790/examples/static-web/go,Pulumi,go,static-website-go,A minimal Azure Native Go Pulumi program,go,,,0,1,0,azure
406069790/examples/static-web/py/Pulumi.yaml,406069790,406069790/examples/static-web/py,Pulumi,python,py,A minimal Azure Native Python Pulumi program,python,,,0,1,0,azure
406069790/examples/appservice/csharp/Pulumi.yaml,406069790,406069790/examples/appservice/csharp,Pulumi,csharp,appservice-cs,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
406069790/examples/appservice/ts/Pulumi.yaml,406069790,406069790/examples/appservice/ts,Pulumi,typescript,appservice-ts,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
406069790/examples/appservice/go/Pulumi.yaml,406069790,406069790/examples/appservice/go,Pulumi,go,appservice-go,A minimal Azure Native Go Pulumi program,go,,,0,1,0,azure
406069790/examples/appservice/py/Pulumi.yaml,406069790,406069790/examples/appservice/py,Pulumi,python,appservice-py,A minimal Azure Native Python Pulumi program,python,,,0,1,0,azure
406069790/examples/aci/ts/Pulumi.yaml,406069790,406069790/examples/aci/ts,Pulumi,typescript,aci-ts,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
406069790/examples/aci/cs/Pulumi.yaml,406069790,406069790/examples/aci/cs,Pulumi,csharp,aci-cs,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
406069790/examples/aci/go/Pulumi.yaml,406069790,406069790/examples/aci/go,Pulumi,go,aci-go,A minimal Azure Native Go Pulumi program,go,,,0,1,0,azure
406069790/examples/aci/py/Pulumi.yaml,406069790,406069790/examples/aci/py,Pulumi,python,aci-py,A minimal Azure Native Python Pulumi program,python,,,0,1,0,azure
486733555/infra/Pulumi.yaml,486733555,486733555/infra,Pulumi,csharp,AppCatalog,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
426364080/pulumi/pulumi-azure-ts/Pulumi.yaml,426364080,426364080/pulumi/pulumi-azure-ts,Pulumi,typescript,pulumi-azure-ts,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
426364080/pulumi/pulumi-azurenative-workshop/my-first-pulumi-app/Pulumi.yaml,426364080,426364080/pulumi/pulumi-azurenative-workshop/my-first-pulumi-app,Pulumi,typescript,my-first-pulumi-app,A minimal TypeScript Pulumi program,nodejs,,,0,1,0,azure
463291483/Pulumi.yaml,463291483,463291483,Pulumi,csharp,confoo2022-iac4devs,Mon premier projet Pulumi pour Azure,dotnet,,,0,1,0,azure
260463421/kub-go/Pulumi.yaml,260463421,260463421/kub-go,Pulumi,go,pulum,A minimal Azure Go Pulumi program,go,,,0,1,0,azure
304617560/pulumi/Pulumi.yaml,304617560,304617560/pulumi,Pulumi,typescript,CI-Project-CCDC,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
485495297/Pulumi.yaml,485495297,485495297,Pulumi,csharp,pulumi-cs-demo,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
430856890/Pulumi.yaml,430856890,430856890,Pulumi,csharp,msugodua,A minimal Azure Native C# Pulumi program,dotnet,,,0,1,0,azure
479836394/prod/azure-resource-group/Pulumi.yaml,479836394,479836394/prod/azure-resource-group,Pulumi,csharp,akkadotnet-largescale-tests,Akka.NET large scale testing on Kubernetes,dotnet,,,0,1,0,azure
465027391/Pulumi.yaml,465027391,465027391,Pulumi,typescript,PrStat,A simple utility to track pull requests in Azure Dev Ops,nodejs,,,0,1,0,azure
372433827/Lab7/result/Pulumi.yaml,372433827,372433827/Lab7/result,Pulumi,typescript,Lab7-Snapshot,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
372433827/Lab3/result/Pulumi.yaml,372433827,372433827/Lab3/result,Pulumi,typescript,lab-3,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
372433827/Lab5/result/Pulumi.yaml,372433827,372433827/Lab5/result,Pulumi,typescript,Lab5-Snapshot,A minimal Azure Native TypeScript Pulumi program,nodejs,,,0,1,0,azure
493046960/IaC/pulumi/winquickstart/Pulumi.yaml,493046960,493046960/IaC/pulumi/winquickstart,Pulumi,python,winquickstart,A minimal Azure Native Python Pulumi program,python,,,0,1,0,azure
513876836/applications/pulumi-examples/testing-unit-fs-mocks/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/testing-unit-fs-mocks,Pulumi,csharp,test-unit-fs-mocks,An example that applies unit testing to F# and Azure resources.,dotnet,"['pulumi_unit', 'pulumi_unit_mocking']","['513876836/applications/pulumi-examples/testing-unit-fs-mocks/Testing.fs', '513876836/applications/pulumi-examples/testing-unit-fs-mocks/WebsiteStack.fs', '513876836/applications/pulumi-examples/testing-unit-fs-mocks/WebsiteStackTests.fs']",0,1,0,azure
